#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos,
Seguridad  y Protección Civil..Cámaras control de tráfico,130,62308,31/07/2014,B83067322,"3 ON THE WEB,S.L.","RETIRADA DE CAMARA ESTROPEADA E INSTALACION Y CONFIGURACION DE CAMARA EN POLIDEPORTIVO, APROBADA CON DECRETO 1422/2014 - NUMERO DE FAC.: A/95238 DE FECHA OPERACION: 31/07/2014 Y FECHA REG. INTERVENCIÓN: 08/07/2014","2.924,57","0,00",#NAME?
"Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje",340,21301,25/07/2014,B83067322,"3 ON THE WEB,S.L.","PACK 2 PUNTOS DE ACCESO PROXIM  TSUNAMI, APROBADA CON DECRETO 1368/14 - NUMERO DE FAC.: A/95236 DE FECHA OPERACION: 22/07/2014","3.744,95","0,00",#NAME?
Educación. Ordinario no inventariable,920,22000,22/05/2014,B83067322,"3 ON THE WEB,S.L.","SUMINISTRO MATERIAL INFORMATICO, APROBADA CON DECRETO 784/2014 - NUMERO DE FAC.: a/95107 DE FECHA OPERACION: 25/04/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 852/2014","295,24","0,00",#NAME?
"Protección civil. Material, informático no inventariable",920,22002,23/09/2014,B83067322,"3 ON THE WEB,S.L.","SISTEMA OPERATIVO PARA EL SERVIDOR ATM , MEMORIA RAM - APROBADO Dº 1658/14 - NUMERO DE FAC.: A/20140008 DE FECHA OPERACION: 23/09/2014 Y FECHA REG. INTERVENCIÓN: 30/07/2014","1.358,83","0,00",#NAME?
"Protección civil. Material, informático no inventariable",920,22002,23/12/2014,B83067322,"3 ON THE WEB,S.L.",FUENTES DE ALIMENTACION Y LECTOR DE DISQUETTES EXTERNOS- INFORME DESFAVO INTERVENCION 919/14 - APROBADO Dº ALCALDIA 2307/14 - NUMERO DE FAC.: A/20140171 DE FECHA OPERACION: 12/12/2014 Y FECHA REG. INTERVENCIÓN: 06/11/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2308/2014,"305,36","0,00",#NAME?
Comunicaciones Correos electronicos y alojamiento  página web,926,22205,23/12/2014,B83067322,"3 ON THE WEB,S.L.",HOSTING EXTRA AYTO-ARROYOMOLINOS.ORG- INFORME DESFAVO INTERVENCION 919/14 - APROBADO Dº ALCALDIA 2307/14 - NUMERO DE FAC.: A/20140162 DE FECHA OPERACION: 12/12/2014 Y FECHA REG. INTERVENCIÓN: 06/11/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2308/2014,"580,80","0,00",#NAME?
Comunicaciones Renovación fireware,926,22208,24/10/2014,B83067322,"3 ON THE WEB,S.L.","SERVICIOS INFORMATICOS, APROBADA CON DECRETO 1807/2014 - NUMERO DE FAC.: A/20140088 DE FECHA OPERACION: 14/10/2014 Y FECHA REG. INTERVENCIÓN: 12/09/2014","944,24","0,00",#NAME?
Comunicaciones.Comunicar Edificio c/ de la iglesia con Ayuntamiento,926,62609,25/07/2014,B83067322,"3 ON THE WEB,S.L.","PACK 2 PUNTOS DE ACCESO PROXIM TSUNAMI, EDIFICIO EMUVISA EMPLEO - NUMERO DE FAC.: A/95237 DE FECHA OPERACION: 22/07/2014","5.705,15","0,00",#NAME?
Comunicaciones.Adquisición Equipos para procesos de información,926,63602,27/11/2014,B83067322,"3 ON THE WEB,S.L.",ANTENA PANEL PROXIM QB 8250 - APROBADO Dº 2149/14  - NUMERO DE FAC.: A/20140132 DE FECHA OPERACION: 06/11/2014 Y FECHA REG. INTERVENCIÓN: 21/10/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2280/2014,"3.504,60","0,00",#NAME?
"Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje",330,21301,06/03/2014,A28078020,"3M ESPAÑA, S.A.","SERVICIO DE MANTENIMIENTOEQUIPO ANTIHURTO BLIBLIOTECA PUBLICA DEL 10/01/2014 AL 10/01/2015, APROBADA CON DECRETO 278/2014 - NUMERO DE FAC.: 3534427 DE FECHA OPERACION: 17/02/2014 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 316/2014","1.129,88","0,00",#NAME?
