#EJECUCIÓN INGRESOS  - EJERCICIO 2014,,,,,,,
,,,,,,,
#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2014,,11200,Impuesto  Bienes Inmuebles. Bienes Inmuebles de Naturaleza Rústica,4700,0,4700,4469.21
2014,,11300,Impuesto Bienes Inmuebles Naturaleza Urbana. Padrón (recibos),12000000,0,12000000,12269980.37
2014,,11301,Impuesto Bienes Inmuebles Naturleza Urbana. Liquidaciones,175000,0,175000,110669.3
2014,,11400,Impuesto Bienes Inmuebles. Bienes Inmuebles de características especiales,44000,0,44000,37793.44
2014,,11500,Impuesto  Vehículos de Tracción Mecánica,916000,0,916000,986332.89
2014,,11600,Impuesto  Incremento del Valor de los Terrenos de Naturaleza Urbana,1366396.33,0,1366396.33,2848358.17
2014,,13000,Impuesto sobre Actividades Económicas,515000,0,515000,531727.75
2014,,13002,Altas y Variaciones Ejercicios anteriores,0,0,0,12526.51
2014,,29000,"Impuesto sobre construcciones, instalaciones y obras",200000,0,200000,879376.73
2014,,30200,Servicio recogida de basuras,1060000,0,1060000,1182096.87
2014,,30500,Cementerios,11000,0,11000,14534.75
2014,,31200,Servicios educativos. Casa de niños,20000,0,20000,29460
2014,,31300,Servicios deportivos. Escuelas Municipales Deportivas jóvenes y adultos,122153.4,0,122153.4,95733.7
2014,,31301,Servicios  deportivos. Escuellas Municipales Deportivas infantiles,294088.5,0,294088.5,308045.92
2014,,31302,Entradas y bonos piscina aire libre,18000,0,18000,13489.9
2014,,31303,Alquiler pistas C.D. La Dehesa,31000,0,31000,20904.6
2014,,31304,Aquiler Pistas C.D. Los Mosquitos,29000,0,29000,22076.95
2014,,31305,Competición Fútbol sala,6400,0,6400,1530
2014,,31306,Competición Fútbol Siete,9600,0,9600,3180
2014,,31307,Matrículas Deportes,28000,0,28000,31127.5
2014,,31308,"Torneos Ranking, padel",8550,0,8550,0
