#Denominación,Programa,Económica,Fecha,NIF/CIF,Nombre Empresa,Descripción,Importe,Descuentos,j,k,l,m
,221  .16200  ,,09/06/2017,B86464054,40 CONSULTORIA Y FORMACION S.L.,EXPTE 37/16: PLAN DE FORMACION - CONTABILIDAD Y PRESUPUESTOS - 3 AL 25 ABRIL - APROBADA POR DECRETO 1616/2017 - NUMERO DE FAC.: Emit-/37 DE FECHA OPERACION: 29/05/2017 Y FECHA REG. INTERVENCIÓN: 19/05/2017,"1.900,00","0,00",TIENES MARCADO EN AMARILLO DATOS SENSIBLES,,,
,221  .16200  ,,09/06/2017,B86464054,40 CONSULTORIA Y FORMACION S.L.,EXPTE 37/16: PLAN DE FORMACION - LEY 19/2013 - 1 AL 23 MARZO - APROBADA POR DECRETO 1616/2017 - NUMERO DE FAC.: Emit-/36 DE FECHA OPERACION: 29/05/2017 Y FECHA REG. INTERVENCIÓN: 19/05/2017,"1.900,00","0,00",,,,
,221  .16200  ,,09/06/2017,B86464054,40 CONSULTORIA Y FORMACION S.L.,EXPTE 37/16: PLAN DE FORMACION: EXCEL - 2 AL 28 FEBRERO - APROBADA POR DECRETO 1616/2017 - NUMERO DE FAC.: Emit-/35 DE FECHA OPERACION: 29/05/2017 Y FECHA REG. INTERVENCIÓN: 19/05/2017,"1.900,00","0,00",,,,
,3341 .20301  ,,19/07/2017,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,EXPTE. 1/17  LOTE 2 - GIMKHANA DEPORTIVA PARA LAS PEÑAS DIA 27/05/17 - APROBADA POR DECRETO Nº 2075/2017 - NUMERO DE FAC.: F045/2017 DE FECHA OPERACION: 11/07/2017 Y FECHA REG. INTERVENCIÓN: 23/06/2017,"2.904,00","0,00",,,,
,3341 .20301  ,,19/07/2017,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,EXPTE. 1/17  LOTE 2 - FIESTAS INFANTILES DIAS 15 Y 16 DE JUNIO DE 2017 - APROBADA POR DECRETO Nº 2075/2017 - NUMERO DE FAC.: F068/2017 DE FECHA OPERACION: 11/07/2017 Y FECHA REG. INTERVENCIÓN: 23/06/2017,"9.680,00","0,00",,,,
,338  .22735  ,,27/07/2017,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,EXPTE COMPRAS 259/17 DESLIZADOR ACUATICO 11/06. APROBADO POR Dº 2153/17 - NUMERO DE FAC.: F067/2017 DE FECHA OPERACION: 17/07/2017 Y FECHA REG. INTERVENCIÓN: 29/06/2017,"1.089,00","0,00",,,,
,3321 .22735  ,,29/06/2017,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,EXPTE COMPRAS 338/2017 HINCHABLES Y ACTIVIDADES DIA DEL LIBRO - APROBADA POR DECRETO 1729/2017 - NUMERO DE FAC.: F030/2017 DE FECHA OPERACION: 06/06/2017 Y FECHA REG. INTERVENCIÓN: 05/05/2017,"1.936,00","0,00",,,,
,231  .22759  ,,02/06/2017,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES - DECRETO DE CONCESION 1231/2017 - DECRETO DE APROBACION 1537/2017,"150,00","0,00",,,,
,9201 .22128  ,,09/05/2017,A08007262,"ABELLO LINDE, S.A.",EXPTE COMPRAS 175/17 - CONTRATO 361943119 ALQUILER 01.03.2017 A 28.02.2018 - APROBADA POR DECRETO 1128/2017 - NUMERO DE FAC.: 3 320 640 DE FECHA OPERACION: 25/04/2017 Y FECHA REG. INTERVENCIÓN: 12/04/2017,"30,25","0,00",,,,
,9201 .22128  ,,09/05/2017,A08007262,"ABELLO LINDE, S.A.",EXPTE COMPRAS 175/17 - ALQUILER BOTELLA GAS INDUSTRIAL - APROBADA POR DECRETO 1128/2017 - NUMERO DE FAC.: 3 320 002 DE FECHA OPERACION: 25/04/2017 Y FECHA REG. INTERVENCIÓN: 12/04/2017,"56,94","0,00",,,,
,9202 .21600  ,,21/04/2017,B59383596,"ABSIS ABS INFORMATICA.,S.L.",EXPTE COMPRAS 96/17 - ABSIS MANTENIMIENTO Y SOPORTE - PRIMER TRIMESTRE 2017 - APROBADA POR DECRETO 1000/2017 - NUMERO DE FAC.: MV/959 DE FECHA OPERACION: 11/04/2017 Y FECHA REG. INTERVENCIÓN: 28/03/2017,"3.529,47","0,00",,,,
,9202 .21600  ,,22/05/2017,B59383596,"ABSIS ABS INFORMATICA.,S.L.",EXPTE COMPRAS 96/17 Contrato vigente desde el día 01-04-2017 hasta 30-06-2017 - 5667410CD71A0 - APROBADA POR DECRETO 1298/2017 - NUMERO DE FAC.: MV/1049 DE FECHA OPERACION: 08/05/2017 Y FECHA REG. INTERVENCIÓN: 12/04/2017,"3.529,47","0,00",,,,
,926  .62606  ,,03/03/2017,B59383596,"ABSIS ABS INFORMATICA.,S.L.",EXPTE. 100/16: CONTRATO IMPLEMENTACION Y USO EN SUBSCRIPCION SERVICIO DE ACCESO A PLATAFORMA MOVIL.... - APROBADA POR DECRETO 415/2017 - NUMERO DE FAC.: 24 DE FECHA OPERACION: 21/02/2017 Y FECHA REG. INTERVENCIÓN: 27/01/2017,"9.994,60","0,00",,,,
,221  .16200  ,,22/03/2017,B59383596,"ABSIS ABS INFORMATICA.,S.L.",Proyecto de Migración de Expedientes de Cliente/Servidor a tecnología Web: Servicios de formación - 5FD1E3AAAE5C5 - APROBADA POR DECRETO 595/2017 - NUMERO DE FAC.: 92 DE FECHA OPERACION: 07/03/2017 Y FECHA REG. INTERVENCIÓN: 22/02/2017,"5.082,00","0,00",,,,
,926  .62606  ,,16/02/2017,A82743287,"AC CAMERFIRMA,S.A.",EXPTE. COMPRAS 334/2016 - SERVIDOR SEGURO OV MULTIDOMINIO APROBADA EN JGL DE 08/02/2017 - NUMERO DE FAC.: 17ECF1/5 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 24/01/2017 Y DECRETO DE PAGO 290/2017,"1.300,75","0,00",,,,
,926  .62606  ,,16/02/2017,A82743287,"AC CAMERFIRMA,S.A.",EXPTE COMPRAS 180/16 - CERTIFICADOS EMPLEADO PUBLICO NIVEL MEDIO --  CERTIFICADO DE CIUDADANO - SELLO ELECTRONICO - APROBADA EN JGL DE 08/02/2017 - NUMERO DE FAC.: 17ECF1/4 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 24/01/2017 Y DECRETO DE PAGO 290/2017,"3.146,00","0,00",,,,
,926  .22299  ,,14/02/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CLOU DATACENTER (NUEVO SERVIDOR) - OCTUBRE 2016 - CUOTA PERIODICA LICENCIA WINDOWS (TODAS LAS VERSONES POR VM) - - INFORME DESFAVORABLE INTERVENCION 739/16 - APROBADA POR REC 01/17 - EN PLENO 26/01/17 - NUMERO DE FAC.: 214830 DE FECHA OPERACION: 26/01/2017 Y FECHA REG. INTERVENCIÓN: 14/11/2016 Y DECRETO ALCALDIA  ORDENACION PAGO 240/2017,"133,97","0,00",,,,
,926  .22299  ,,14/02/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA LICENCIA SQL PERIODO 17/11/2016 A 16/12/2016 - INFORME DESFAVORABLE INTERVENCION 739/16 - APROBADA POR REC 01/17 - EN PLENO 26/01/17 - NUMERO DE FAC.: 216525 DE FECHA OPERACION: 26/01/2017 Y FECHA REG. INTERVENCIÓN: 28/11/2016 Y DECRETO ALCALDIA  ORDENACION PAGO 240/2017,"377,67","0,00",,,,
,926  .22299  ,,14/02/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA : CLOUD DATA CENTER - vDC 10 - (06/10/16 A 05/11/16) - INFORME DESFAVORABLE INTERVENCION 739/16 - APROBADA POR REC 01/17 - EN PLENO 26/01/17 - NUMERO DE FAC.: 212208 DE FECHA OPERACION: 26/01/2017 Y FECHA REG. INTERVENCIÓN: 25/10/2016 Y DECRETO ALCALDIA  ORDENACION PAGO 240/2017,"732,25","0,00",,,,
,926  .22299  ,,14/02/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA: CLOUD DATACENTER:  vDC 10 (06/11/2016-05/12/2016) - INFORME DESFAVORABLE INTERVENCION 739/16 - APROBADA POR REC 01/17 - EN PLENO 26/01/17 - NUMERO DE FAC.: 215461 DE FECHA OPERACION: 26/01/2017 Y FECHA REG. INTERVENCIÓN: 18/11/2016 Y DECRETO ALCALDIA  ORDENACION PAGO 240/2017,"732,25","0,00",,,,
,926  .22299  ,,14/02/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA LICENCIA SQL PERIODO DEL 17/10/2016 AL 16/11/2016 - INFORME DESFAVORABLE INTERVENCION 739/16 - APROBADA POR REC 01/17 - EN PLENO 26/01/17 - NUMERO DE FAC.: 212963 DE FECHA OPERACION: 26/01/2017 Y FECHA REG. INTERVENCIÓN: 09/11/2016 Y DECRETO ALCALDIA  ORDENACION PAGO 240/2017,"377,67","0,00",,,,
,926  .22299  ,,10/03/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Cloud Datacenter - vDC 10 (06/12/2016 - 05/01/2017) - INFORME DESFAVORABLE INTERVENCION 40/2017 - APROBADA EN PLENO 23/02/17 - REC 03/17 - NUMERO DE FAC.: 6414147/CDD219498 DE FECHA OPERACION: 23/02/2017 Y FECHA REG. INTERVENCIÓN: 28/12/2016,"732,24","0,00",,,,
,926  .22299  ,,10/03/2017,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",Cuota periodica: Cloud Datacenter - vDC 10 (06/01/2017 - 05/02/2017) - INFORME DESFAVORABLE INTERVENCION 40/2017 - APROBADA EN PLENO 23/02/17 - REC 03/17 - NUMERO DE FAC.: 6561263/CDD223703 DE FECHA OPERACION: 23/02/2017 Y FECHA REG. INTERVENCIÓN: 24/01/2017,"732,25","0,00",,,,
