#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,130,12001,Seguridad  y P. Civil. Sueldos del Grupo A2,,,130,1,3378.89,0,3378.89,0
,130,12003,Seguridad  y P. Civil. Sueldos del Grupo C1,,,130,1,35666.31,-3756,31910.31,9983.82
,130,12004,Seguridad  y P. Civil. Sueldos del Grupo C2,,,130,1,484691.49,-21912,462779.49,210713.1
,130,12006,Seguridad  y P. Civil. Trienios,,,130,1,54039.16,0,54039.16,26912.98
,130,12100,Seguridad  y P. Civil. Complemento de destino,,,130,1,288448.88,-20340.01,268108.87,116930.05
,130,12101,Seguridad y P.Civil. Complemento específico,,,130,1,1550840.07,-104292.05,1446548.02,634960.41
,130,12300,Seguridad  y P. Civil.Salarios de tramitación policía,,,130,1,0,120000,120000,96932.98
,130,13100,Seguridad  y P. Civil Salario Base,,,130,1,15510.74,0,15510.74,2662.59
,130,13102,Seguridad  y P. Civil Otras Remuneraciones,,,130,1,20811.95,0,20811.95,3246.33
,130,13106,Seguridad  y P. Civil Trienios,,,130,1,748.55,0,748.55,248.05
,130,15100,Seguridad  y P. Civil. Gratificaciones,,,130,15100,40000,120000,160000,47953.6
,130,20400,Seguridad  y P. Civil. Alquiler de vehiculos,,,130,2,32161.8,2680.15,34841.95,21441.2
,130,21300,Seguridad  y P. Civil. Mantenimiento equipos de transmisión,,,130,2,2000,0,2000,421.08
,130,21301,"Seguridad  y P. Civil. Mantenimiento, maquinaria, instalacciones y utillaje",,,130,2,9000,0,9000,503.71
,130,21303,Seguridad  y P. Civil. Mantenimiento aparatos elevadores,,,130,2,937.09,86.02,1023.11,744.13
,130,21305,"Seguridad  y P. Civil..Mantenimiento equip.seg., vigilancia  y alarmas",,,130,2,33275,0,33275,13015.12
,130,21400,Seguridad  y P. Civil. Mantenimiento y reparación de vehículos,,,130,2,15000,0,15000,4181.08
,130,21500,Seguridad  y P. Civil. Mantenimiento mobiliario y enseres,,,130,2,2000,0,2000,0
,130,21600,Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,,,130,2,0,3398.64,3398.64,12174.44
,130,22000,Seguridad  y P. Civil. Ordinario no inventariable,,,130,2,6000,0,6000,2838.95
,130,22001,"Seguridad  y P. Civil. Prensa, revistas, libros y otras publicaciones",,,130,2,1000,0,1000,950.03
,130,22100,Seguridad  y P. Civil. Energía eléctrica,,,130,2,41339.65,0,41339.65,11729.13
