#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos,
"Seguridad  y Protección Civil..Mantenimiento equip.seg., vigilancia  y alarmas",130,21305,10/10/2013,B83067322,"3 ON THE WEB,S.L.","MODIFICACIONES SOPORTES ANTENAS AYTO Y POLICIA., APROBADO CON DECRETO 1854/2013 - NUMERO DE FAC.: A/94247 DE FECHA OPERACION: 18/09/2013","647,35","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,130,21600,17/04/2013,B83067322,"3 ON THE WEB,S.L.",SERVICIOS PROFESIONALES EXPTE. 3/09 - INFORME DESFAVORABLE INTERVENCIÓN Nº 16/2013  - APROBADO POR EL PLENO EL 04/04/2013 EN REC 02/2013 - NUMERO DE FAC.: A/93050 DE FECHA OPERACION: 05/04/2013,"708,00","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,130,22699,08/05/2013,B83067322,"3 ON THE WEB,S.L.",CABLE ATEN CONVERTIDOR USB 2.0 A SERIE DB-9 SEGURIDAD CIUDADANA - NUMERO DE FAC.: A/94052 DE FECHA OPERACION: 08/05/2013,"22,34","0,00",#NAME?
Cultura.Jornadas de Archiveros Municipales de Madrid,330,22648,05/07/2013,B83067322,"3 ON THE WEB,S.L.","SUMINISTRO ORINOCO AP-8100 Y ORINOCO 1 PORT 802.3AF DC, XIX JORNADAS DE ARCHIVEROS - NUMERO DE FAC.: A/94146 DE FECHA OPERACION: 11/06/2013","476,43","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,340,22699,08/05/2013,B83067322,"3 ON THE WEB,S.L.",CABLE ATEN CONVERTIDOR USB 2.0 A SERIE DB-9 - NUMERO DE FAC.: A/94051 DE FECHA OPERACION: 08/05/2013,"22,34","0,00",#NAME?
Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,920,21600,08/11/2013,B83067322,"3 ON THE WEB,S.L.",CABLEADO Y PARCHEADO DE RED DESDE EL LUCERNARIO HASTA EL RITI APROBADA CON DECRETO 2073/2013 - NUMERO DE FAC.: A/94288 DE FECHA OPERACION: 15/10/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2197/2013,"217,80","0,00",#NAME?
"Protección civil. Material, informático no inventariable",920,22002,20/06/2013,B83067322,"3 ON THE WEB,S.L.",SUMINISTRO ALIMENTADOR CARCASA AXIS VERSO Y CABLE DE RED UTP - NUMERO DE FAC.: A/94147 DE FECHA OPERACION: 07/06/2013,"250,17","0,00",#NAME?
Comunicaciones Correos electronicos y alojamiento  página web,926,22205,09/12/2013,B83067322,"3 ON THE WEB,S.L.","RENOVACION DOMINIO ORG 1 AÑO, APROBADA CON DECRETO  2285/2013 - NUMERO DE FAC.: A/94316 DE FECHA OPERACION: 14/11/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2390/2013","87,73","0,00",#NAME?
Comunicaciones Correos electronicos y alojamiento  página web,926,22205,09/12/2013,B83067322,"3 ON THE WEB,S.L.","ALOJAMIENTO DE DOMINIOS DE NOVIEMBRE DE 2013 A OCTUBRE 2014, APROBADA CON DECRETO 2285/2013 - NUMERO DE FAC.: A/94304 DE FECHA OPERACION: 14/11/2013 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2390/2013","580,80","0,00",#NAME?
"Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje",330,21301,07/03/2013,A28078020,"3M ESPAÑA, S.A.",SERVICIO MANTENIMIENTO EQUIPO ANTIHURTO PERIODO DEL 10/01/2013 AL 09/01/2014 - NUMERO DE FAC.: 3304377 DE FECHA OPERACION: 15/02/2013,"1.129,88","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,235,22699,26/12/2013,B83417337,A LOJA DO GATO PRETO ESPAÑA,VAJILLA  ACF TERCERA EDAD - NUMERO DE FAC.: FTPOS-026/0026034917 DE FECHA OPERACION: 26/12/2013,"53,85","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,235,22699,26/12/2013,A79935607,"A.D.DECATHLON.,S.A.",SET 6 BALLS  ACF TERCERA EDAD - NUMERO DE FAC.: 5562013001390 DE FECHA OPERACION: 26/12/2013,"14,95","0,00",#NAME?
Seguridad  y Protección Civil. Otros gastos diversos,320,22699,08/05/2013,A79935607,"A.D.DECATHLON.,S.A.",MATERIAL PARA DISFRACES DE CARNAVAL CASA DE NIÑOS - NUMERO DE FAC.: 5562013000224 DE FECHA OPERACION: 08/05/2013,"26,94","0,00",#NAME?
