#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos,
"Seguridad  y P. Civil. Mantenimiento, maquinaria, instalacciones y utillaje",135,21301,25/03/2015,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"INSTALACION DE UN EQUIPO DE RADIO  EN OTRO EDIFICIO, APROBADO CON DECRETO 304/2015 - NUMERO DE FAC.: 15/0015 DE FECHA OPERACION: 20/02/2015 Y FECHA REG. INTERVENCIÓN: 20/02/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 459/2015","1.512,50","0,00",#NAME?
"Seguridad  y P. Civil. Mantenimiento, maquinaria, instalacciones y utillaje",241,21301,04/09/2015,B83067322,"3 ON THE WEB,S.L.","SRC-PROF           Recableado, movimiento, anclaje y reorientación - 1 - 2015065, APROBADA CON DECRETO 1741/2015 - NUMERO DE FAC.: Emit-/13 DE FECHA OPERACION: 18/08/2015 Y FECHA REG. INTERVENCIÓN: 22/07/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1742/2015","566,28","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,04/09/2015,B83067322,"3 ON THE WEB,S.L.","910-001949         Ratón Logitech Wireless Mouse M705 - Serie      S/N - 1 - 2015060 / VX239H             Monitor Asus VX239H 23"" LED IPS - Serie      S/N - 2 - 2015060 / CH-9000066-ES      Teclado Corsair K70  LED Rojo Cherry MX Blue - Serie      S/N - 3 - 2015060, APROBADA CON DECRETO 1741/2015 - NUMERO DE FAC.: Emit-/7 DE FECHA OPERACION: 18/08/2015 Y FECHA REG. INTERVENCIÓN: 22/07/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1742/2015","435,38","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,04/09/2015,B83067322,"3 ON THE WEB,S.L.",".                  Plan Pro de Hootsuite (anual) - 1 - 2015062 / USUARIO            Usuario extra Hootsuite (anual) - Serie      S/N - 2 - 2015062, APROBADA CON DECRETO 1741/2015 - NUMERO DE FAC.: Emit-/8 DE FECHA OPERACION: 18/08/2015 Y FECHA REG. INTERVENCIÓN: 22/07/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1742/2015","534,17","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,04/09/2015,B83067322,"3 ON THE WEB,S.L.","PLANTILLA          Plantilla DW Focus - Serie      S/N - 1 - 2015061, APROBADA CON DECRETO 1741/2015 - NUMERO DE FAC.: Emit-/12 DE FECHA OPERACION: 18/08/2015 Y FECHA REG. INTERVENCIÓN: 22/07/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1742/2015","63,97","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,04/09/2015,B83067322,"3 ON THE WEB,S.L.","FG                 FG Joomla To WordPress Premium - Serie      S/N - 1 - 2015064 / K2                 Import K2 - Serie      S/N - 2 - 2015064, APROBADA CON DECRETO 1741/2015 - NUMERO DE FAC.: Emit-/11 DE FECHA OPERACION: 18/08/2015 Y FECHA REG. INTERVENCIÓN: 22/07/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1742/2015","76,51","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,14/10/2015,B83067322,"3 ON THE WEB,S.L.",POE PARA ANTENA PROXIM - APROBADO Dº 1973/2015  - NUMERO DE FAC.: Emit-/17 DE FECHA OPERACION: 28/09/2015 Y FECHA REG. INTERVENCIÓN: 16/09/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2031/2015,"238,64","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,14/10/2015,B83067322,"3 ON THE WEB,S.L.",LICENCIA Y PEDALES PARA PUESTO DE REPRODUCCION EN CONTRATACION - APROBADO Dº 1973/2015  - NUMERO DE FAC.: Emit-/18 DE FECHA OPERACION: 28/09/2015 Y FECHA REG. INTERVENCIÓN: 16/09/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2031/2015,"133,58","0,00",#NAME?
"Protección civil. Material, informático no inventariable",926,22002,14/10/2015,B83067322,"3 ON THE WEB,S.L.",SAI PARA SUSTITUIR EN POLIDEPORTIVOLOS MOSQUITOS - APROBADO Dº 1973/2015  - NUMERO DE FAC.: Emit-/16 DE FECHA OPERACION: 28/09/2015 Y FECHA REG. INTERVENCIÓN: 16/09/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2031/2015,"122,21","0,00",#NAME?
Comunicaciones Correos electronicos y alojamiento  página web,926,22205,10/12/2015,B83067322,"3 ON THE WEB,S.L.",HOSTING EXTRA - APROBADO Dº 2409/2015 - NUMERO DE FAC.: Emit-/25 DE FECHA OPERACION: 13/11/2015 Y FECHA REG. INTERVENCIÓN: 03/11/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2463/2015,"580,80","0,00",#NAME?
Comunicaciones internas. Adquisicion Software,926,62606,04/09/2015,B83067322,"3 ON THE WEB,S.L.","JG350A             HP 1910-8G-POE+ - Serie      S/N - 1 - 2015059, APROBADA CON DECRETO 1741/2015 - NUMERO DE FAC.: Emit-/6 DE FECHA OPERACION: 18/08/2015 Y FECHA REG. INTERVENCIÓN: 22/07/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1742/2015","518,05","0,00",#NAME?
Comunicaciones internas. Adquisicion Software,926,62606,04/09/2015,B83067322,"3 ON THE WEB,S.L.","2159134            Adobe Creative Cloud Licencia Completa (Anual) - Serie      S/N - 1 - 2015063, APROBADA CON DECRETO 1741/2015 - NUMERO DE FAC.: Emit-/9 DE FECHA OPERACION: 18/08/2015 Y FECHA REG. INTERVENCIÓN: 22/07/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1742/2015","2.032,51","0,00",#NAME?
Comunicaciones internas. Adquisición Equipos para procesos de información,926,63602,12/11/2015,B83067322,"3 ON THE WEB,S.L.","IGS-3032GC         Switch Industrial Gestionado 3x 10/100/1000TX + 2x Combo Gigabit - Serie      S/N - 1 - 2015074 / DR-4524            F. alimentación carril DIN 45W/24V (Rango de temperatura -10ºC a 50ºC) - Serie      S/N - 2 - 2015074, APROBADA CON DECRETO 2193/2015 - NUMERO DE FAC.: Emit-/23 DE FECHA OPERACION: 22/10/2015 Y FECHA REG. INTERVENCIÓN: 19/10/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2263/2015","748,99","0,00",#NAME?
Comunicaciones internas. Adquisición Equipos para procesos de información,926,63602,03/11/2015,B83067322,"3 ON THE WEB,S.L.","24.951             Mikrotik RB/951G2HnD Router - Serie      S/N - 1 - 2015084,APROBADA CON DECRETO 2101/2015 - NUMERO DE FAC.: Emit-/21 DE FECHA OPERACION: 08/10/2015 Y FECHA REG. INTERVENCIÓN: 01/10/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2172/2015","171,80","0,00",#NAME?
Bibliotecas públicas Mantenimiento Sistema integrado Biblioteca,3321,21602,08/04/2015,B28078020,"3M ESPAÑA.,S.L.","SERVICIO  MANTENIMIENTO ANTIHURTO  BIBLIOTECA MUNICIPAL, APROBADA CON CECRETO 463/2015 - NUMERO DE FAC.: 3792735 DE FECHA OPERACION: 06/03/2015 Y FECHA REG. INTERVENCIÓN: 27/02/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 544/2015","1.129,89","0,00",#NAME?
Cultura. Actividades culturales,330,22609,02/06/2015,B86528577,ABANIA ORGANIZACION DE EVENTOS S.L.,GLOBOS DE HELIO PARA EL DIA DEL LIBERO - 25 DE ABRIL - APROBADO Dº 1062/2015 - NUMERO DE FAC.: FQ41/15 DE FECHA OPERACION: 14/05/2015 Y FECHA REG. INTERVENCIÓN: 06/05/2015 Y DECRETO ORDENACION PAGO 1094/2015,"1.028,50","0,00",#NAME?
Asistencia social primaria. Programa de Emergencia Social,231,22759,03/08/2015,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDA ECONOMICA SERVICIOS SOCIALES  Dº CONSECION 1329/2015 - Dº APROBACION 1576/2015 Y DECRETO ORDENACIÓN DE PAGO 1577/2015 DE 22 DE JULIO,"230,00","0,00",#NAME?
Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,9202,21600,06/07/2015,B59383596,"ABSIS ABS INFORMATICA.,S.L.",M1040600 - MANTENIMIENTO ABSCU-1 - 5B57458567C79 / M1041300 - MANTENIMIENTO IBIGRAF URBANA - 107AC42F80D82C / M10212S2 - MANTENIMIENTO ORGANOS COLEGIADOS PLUS - 158BA2B679D37B / M1040500 - MANTENIMIENTO URBANCAD - 2037106F51700B / M1040900 - MANTENIMIENTO ATLAS 2 - 25E135F9401D5E . Y OTROS - Contrato vigente desde el día - 105C5D592D99FFA / . - 01-01-2015 hasta 31-03-2015 - APROBADA CON DECRETO 1234/15 - NUMERO DE FAC.: MV/2015/MV/875 DE FECHA OPERACION: 16/06/2015 Y FECHA REG. INTERVENCIÓN: 11/06/2015 Y DECRETO ORDENACION DE PAGO 1300/2015,"3.537,93","0,00",#NAME?
Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,9202,21600,07/08/2015,B59383596,"ABSIS ABS INFORMATICA.,S.L.","M1061813 - MANTENIMIENTO Solución e-Atiende LT - 59266035C9532 / M1041100 - MANTENIMIENTO ABS.MAPAS (5 USUARIO) - 1068DEBC15AAF2 / FCTRA. Nº:MV/2015/MV/1241 / APROBADO AUTORIZACIÓN, DISPOSICION Y RECONOCIMIENTO DE LA OBLIGACIÓN MEDIANTE DECRETO Nº: 1644/2015/ Y MEDIANTE DECRETO DE ORDENACIÓN DE PAGO Nº1651/2015, 31DE JULIO","3.537,93","0,00",#NAME?
Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,9202,21600,06/07/2015,B59383596,"ABSIS ABS INFORMATICA.,S.L.","Contrato de mantenimiento vigente desde el día 01-04-2015 hasta 30-06-2015. - 5423616DEB7A3, APROBADA CON DECRETO 1234/15 - NUMERO DE FAC.: MV/2015/MV/1056 DE FECHA OPERACION: 16/06/2015 Y FECHA REG. INTERVENCIÓN: 05/05/2015 Y DECRETO ORDENACION DE PAGO 1300/2015","3.537,93","0,00",#NAME?
Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,9202,21600,10/12/2015,B59383596,"ABSIS ABS INFORMATICA.,S.L.",MTTO ABSIS CUARTO TRIMESTRE 2015 - APROBADO Dº 2409/2015 - NUMERO DE FAC.: MV/1396 DE FECHA OPERACION: 13/11/2015 Y FECHA REG. INTERVENCIÓN: 30/10/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2486/2015,"3.537,93","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,25/03/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA MES DE SERVIDOR AVANZADOI MES DE MARZO - APROBADA POR DECRETO 529/2015 - NUMERO DE FAC.: 1054074 DE FECHA OPERACION: 25/03/2015 Y FECHA REG. INTERVENCIÓN: 04/03/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,02/06/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA SERVIDOR AVANZADO - ABRIL - APROBADO Dº 1062/15-  NUMERO DE FAC.: 1063106 DE FECHA OPERACION: 20/05/2015 Y FECHA REG. INTERVENCIÓN: 12/05/2015 Y DECRETO ORDENACION PAGO 1094/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,23/06/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTRA PERIODICA EC-SERVIDOR / EC- RESPALDO_NG / AC_9365_E1_AAPP - MES ABRIL - APROBADO Dº 1137/2015 - NUMERO DE FAC.: 1072335 DE FECHA OPERACION: 14/05/2015 Y FECHA REG. INTERVENCIÓN: 06/05/2015 Y DECRETO DE APROBACIÓN DEL GASTO Nº 1137/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,26/06/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTAS PERIODICAS  SERVIDOR TELEFONICA - APROBADO POR DECRETO 1248/2015 - NUMERO DE FAC.: 1081800 DE FECHA OPERACION: 17/06/2015 Y FECHA REG. INTERVENCIÓN: 01/06/2015 Y DECRETO ORDENACION PAGO 1249/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,16/07/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",MTTO SERVIDOR MES DE JUNIO/ JULIO - APROBADO Dº 1425/2015  - NUMERO DE FAC.: 1091700 DE FECHA OPERACION: 02/07/2015 Y FECHA REG. INTERVENCIÓN: 30/06/2015  Y ORDENACION DE PAGO DECRETO 1426/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,04/09/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA SERVIDOR - APROBADO POR DECRETO 1754/2015 - NUMERO DE FAC.: 1101758 DE FECHA OPERACION: 19/08/2015 Y FECHA REG. INTERVENCIÓN: 31/07/2015  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1755/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,02/11/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA SERVIDOR - MES SEPTIEMBRE - APROBADO POR DECRETO 2118/2015 - NUMERO DE FAC.: 1121855 DE FECHA OPERACION: 13/10/2015 Y FECHA REG. INTERVENCIÓN: 29/09/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,20/11/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA EC SERVIDOR - OCTUBRE- APROBADO Dº 2393/2015 - NUMERO DE FAC.: 1132387 DE FECHA OPERACION: 12/11/2015 Y FECHA REG. INTERVENCIÓN: 28/10/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2394/2015,"1.134,37","0,00",#NAME?
Comunicaciones.Informáticas ADSL,926,22203,30/12/2015,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA DEL 27/11 AL 26/12/2015 - APROBADO POR DECRETO 2632/2015 - NUMERO DE FAC.: 1143291 DE FECHA OPERACION: 11/12/2015 Y FECHA REG. INTERVENCIÓN: 03/12/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2633/2015,"1.134,37","0,00",#NAME?
"Seguridad  y P. Civil. Prensa, revistas, libros y otras publicaciones",3321,22001,12/11/2015,G78216819,"AENOR, ASOCIACION ESPAÑOLA DE NORMALIZACION Y CERTIFICACIÓN","CDU 2015 CLASIFICACION DECIMAL UNIVERSAL, APROBADA CON DECRETO 2193/2015 - NUMERO DE FAC.: RI/15039407 DE FECHA OPERACION: 22/10/2015 Y FECHA REG. INTERVENCIÓN: 07/10/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2263/2015","325,84","0,00",#NAME?
"Seguridad  y P. Civil. Prensa, revistas, libros y otras publicaciones",3321,22001,16/07/2015,B06652861,"AER DOUMO GLOBAL.,S.L.","SUSCRIPCION  DESCUBRIR EL ARTE, APROBADA CON DECRETO 1380/2015 - NUMERO DE FAC.: SA15006-20 DE FECHA OPERACION: 26/06/2015 Y FECHA REG. INTERVENCIÓN: 15/06/2015 Y ORDENACION DE PAGO POR DECRETO 1421/2015","34,56","0,00",#NAME?
"Alumbrado público.Suministros de material electrónico, eléctrico y de telecomunicaciones",165,22112,04/03/2015,A58090283,AFEISA,SUMINISTRO FUENTE DE ALIMENTACION- APROBADO Dº 199/15 - NUMERO DE FAC.: 150007 DE FECHA OPERACION: 05/02/2015 Y FECHA REG. INTERVENCIÓN: 20/01/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 210/2015,"76,23","0,00",#NAME?
Alumbrado público.Mantenimiento instalacciones eléctricas,165,22717,25/03/2015,A58090283,AFEISA,"CONTRATO DE UN EQUIPO TELEASTRO, APROBADA CON DECRETO 304/2015 - NUMERO DE FAC.: 150078 DE FECHA OPERACION: 20/02/2015 Y FECHA REG. INTERVENCIÓN: 19/02/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 459/2015","756,25","0,00",#NAME?
Cultura. Actividades culturales,330,22609,19/05/2015,B05128764,"AGADA.,S.L.","REPRESENTACION DE ""EL TAJE NUEVO DEL EMPERADOR"", APROBADO CON DECRETO 851/2015 - NUMERO DE FAC.: 030/15 DE FECHA OPERACION: 24/04/2015 Y FECHA REG. INTERVENCIÓN: 27/03/2015 Y Dº ORDENACION PAGO 994/2015","2.000,00","0,00",#NAME?
"Cultura. Arrend.de maquinaria, instal.y utillaje",330,20300,12/11/2015,A83254136,AGENCIA LOXAM MADRID SUR,"ARRENDAMIENTO ELEVADOR, APROBADA CON DECRETO 2193/2015 - NUMERO DE FAC.: 852000804-0001 DE FECHA OPERACION: 22/10/2015 Y FECHA REG. INTERVENCIÓN: 08/10/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2263/2015","280,72","0,00",#NAME?
"Cultura. Arrend.de maquinaria, instal.y utillaje",330,20300,10/12/2015,A83254136,AGENCIA LOXAM MADRID SUR,ALQUILER BRAZO ARTICULADO- INFORME DESFAVORABLE INTERVENCION 792/2015 - APROBADO Dº ALCALDIA 2552/2015  - NUMERO DE FAC.: 852000836-0001 DE FECHA OPERACION: 02/12/2015 Y FECHA REG. INTERVENCIÓN: 21/10/2015 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2553/2015,"205,70","0,00",#NAME?
"Cultura. Arrend.de maquinaria, instal.y utillaje",330,20300,30/12/2015,A83254136,AGENCIA LOXAM MADRID SUR,"ALQUILER BRAZO ARTICULADO DOS DIAS -  APROBADO Dº 2880/2015 - SE DESCUENTA EL ABONO 852000856-0002 DE IMPORTE -243,21 € - NUMERO DE FAC.: 852001022-0001 DE FECHA OPERACION: 30/12/2015 Y FECHA REG. INTERVENCIÓN: 06/11/2015","243,21","0,00",#NAME?
"Cultura. Arrend.de maquinaria, instal.y utillaje",330,20300,30/12/2015,A83254136,AGENCIA LOXAM MADRID SUR,"ABONO 852000856-0002 DE IMPORTE -243,21 € - SE APLICA SOBRE LA FRA NUMERO DE FAC.: 852001022-0001 DE FECHA OPERACION: 30/12/2015 Y FECHA REG. INTERVENCIÓN: 06/11/2015","-243,21","0,00",#NAME?
Mujer.Area de Mujer,3343,22618,29/05/2015,,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"50 MENUS DIA DE LA MUJER, APROBADA CON DECRETO 1062/15 - NUMERO DE FAC.: 13 DE FECHA OPERACION: 14/05/2015 Y FECHA REG. INTERVENCIÓN: 23/04/2015 Y DECRETO ORDENACION PAGO 1094/2015","1.250,00","0,00",#NAME?
