#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Programa de emergencia social,231,22759,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS ECONOMICAS SERVICIOS SOCIALES Dº CONCESION 362/2016 - Dº APROBACION 642/2016,150,0
Programa de emergencia social,231,22759,11/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES DECRETO 2468/2016 SEGUN DECRETO DE APROBACION NR 2621/2016,150,0
Programa de emergencia social,231,22759,14/07/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AYUDAS SERVICIOS SOCIALES Dº CONCESION 1587/2016 - Dº APROBACION 1716/2016,200,0
Mantenimiento de equipos para procesos de información,9202,21600,26/02/2016,B59383596,"ABSIS ABS INFORMATICA.,S.L.","Contrato vigente desde el día 01-01-2016 hasta 31-03-2016 - 58BF4A785C1F0, APROBADA CON DECRETO 306/2016 - NUMERO DE FAC.: MV/576 DE FECHA OPERACION: 04/02/2016 Y FECHA REG. INTERVENCIÓN: 22/01/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 402/2016",3023.54,0
Mantenimiento de equipos para procesos de información,9202,21600,15/04/2016,B59383596,"ABSIS ABS INFORMATICA.,S.L.","M10208S2 - MANTENIMIENTO SEGUIMIENTO EXPEDIENTES PLUS - 5DB2D12DD51B4 / M10212S2 - MANTENIMIENTO ORGANOS COLEGIADOS PLUS - 10FA7CB2CCB0A1 / . - Periodo del 01-01-2016 al 31-03-2016 - 15DD40544D379C, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: MV/907 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",505.94,0
Mantenimiento de equipos para procesos de información,9202,21600,25/05/2016,B59383596,"ABSIS ABS INFORMATICA.,S.L.",Contrato vigente desde el día 01-04-2016 hasta 30-06-2016 - 58723A93B5737 - APROBADO Dº 1282/2016 - NUMERO DE FAC.: MV/1141 DE FECHA OPERACION: 12/05/2016 Y FECHA REG. INTERVENCIÓN: 27/04/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1311/2016,3529.47,0
Mantenimiento de equipos para procesos de información,9202,21600,21/07/2016,B59383596,"ABSIS ABS INFORMATICA.,S.L.",Contrato vigente desde el día 01-07-2016 hasta 30-09-2016 - 50112030EBC4C - APROBADO Dº 1742/2016 - NUMERO DE FAC.: MV/1285 DE FECHA OPERACION: 04/07/2016 Y FECHA REG. INTERVENCIÓN: 01/07/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1791/2016,3529.47,0
Mantenimiento de equipos para procesos de información,9202,21600,11/11/2016,B59383596,"ABSIS ABS INFORMATICA.,S.L.",Contrato vigente desde el día 01-10-2016 hasta 31-12-2016 - 57AEABBA14070 - APROBADA POR DECRETO 2587/2016 - NUMERO DE FAC.: MV/1557 DE FECHA OPERACION: 26/10/2016 Y FECHA REG. INTERVENCIÓN: 18/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2616/2016,3529.47,0
Suministro de material de ferretería,9201,22128,02/12/2016,B80382260,"ACCESORIOS MONTECARLO.,S.L.",SUMINISTRO FERRETERIA - BISAGRAS - INFORME DESFAV INTERVENCIÓN 512/2016 - APROBADA EN REC 13/2016 - EN PLENO 24/11/16 - NUMERO DE FAC.: C/27906 DE FECHA OPERACION: 24/11/2016 Y FECHA REG. INTERVENCIÓN: 08/07/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2881/2016,86.82,0
Línea de datos,926,22203,11/02/2016,B84948736,"ACENS TECHNOLOGIES.,S.L.U.",CUOTA PERIODICA OFFICE 362 EMPRESA PREMIUM MES DE ENERO - APROBADA POR DECRETO 180/2016 - NUMERO DE FAC.: 177344 DE FECHA OPERACION: 25/01/2016 Y FECHA REG. INTERVENCIÓN: 18/01/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 181/2016,508.2,0
