#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,,,,,,,,,,,
,130,12001,Seguridad  y P. Civil. Sueldos del Grupo A2,,,130,1,3378.89,0,3378.89,0
,,,,,,,,,,,
,130,12003,Seguridad  y P. Civil. Sueldos del Grupo C1,,,130,1,25485.23,0,25485.23,11405.34
,,,,,,,,,,,
,130,12004,Seguridad  y P. Civil. Sueldos del Grupo C2,,,130,1,449090.2,0,449090.2,392934.89
,,,,,,,,,,,
,130,12006,Seguridad  y P. Civil. Trienios,,,130,1,52100.32,0,52100.32,46051.69
,,,,,,,,,,,
,130,12100,Seguridad  y P. Civil. Complemento de destino,,,130,1,261449.18,0,261449.18,211009.51
,,,,,,,,,,,
,130,12101,Seguridad y P.Civil. Complemento específico,,,130,1,1396625.54,-103256.51,1293369.03,1126619.21
,,,,,,,,,,,
,130,15000,Seguridad  y P. Civil. Productividad,,,130,15000,30300,0,30300,0
,,,,,,,,,,,
,130,15100,Seguridad  y P. Civil. Gratificaciones,,,130,15100,40000,24695.05,64695.05,37666.93
,,,,,,,,,,,
,130,20400,Seguridad  y P. Civil. Alquiler de vehiculos,,,130,2,32161.8,0,32161.8,29481.65
,,,,,,,,,,,
,130,21300,Seguridad  y P. Civil. Mantenimiento equipos de transmisión,,,130,2,2000,0,2000,0
,,,,,,,,,,,
,130,21301,"Seguridad  y P. Civil. Mantenimiento, maquinaria, instalacciones y utillaje",,,130,2,6000,0,6000,3137.77
,,,,,,,,,,,
,130,21303,Seguridad  y P. Civil. Mantenimiento aparatos elevadores,,,130,2,930.09,0,930.09,844.03
,,,,,,,,,,,
,130,21305,"Seguridad  y P. Civil..Mantenimiento equip.seg., vigilancia  y alarmas",,,130,2,38278.08,-871.2,37406.88,15689.25
,,,,,,,,,,,
,130,21400,Seguridad  y P. Civil. Mantenimiento y reparación de vehículos,,,130,2,20000,0,20000,7802.32
,,,,,,,,,,,
,130,21500,Seguridad  y P. Civil. Mantenimiento mobiliario y enseres,,,130,2,1000,0,1000,1461.68
,,,,,,,,,,,
,130,21600,Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,,,130,2,41550.42,0,41550.42,38323.99
,,,,,,,,,,,
,130,22000,Seguridad  y P. Civil. Ordinario no inventariable,,,130,2,3000,0,3000,3856.27
,,,,,,,,,,,
,130,22001,"Seguridad  y P. Civil. Prensa, revistas, libros y otras publicaciones",,,130,2,2000,0,2000,304.01
,,,,,,,,,,,
,130,22100,Seguridad  y P. Civil. Energía eléctrica,,,130,2,38000,0,38000,26908.82
,,,,,,,,,,,
,130,22101,Seguridad  y P. Civil..Agua,,,130,2,1500,0,1500,1646.85
,,,,,,,,,,,
,130,22103,Seguridad  y P. Civil. Combustibles y carburantes,,,130,2,15000,-12700,2300,568.46
,,,,,,,,,,,
,130,22104,Seguridad  y P. Civil. Vestuario,,,130,2,35000,0,35000,4668.66
,,,,,,,,,,,
,130,22117,Seguridad  y P. Civil. Utillaje,,,130,2,10000,0,10000,382.36
,,,,,,,,,,,
,130,22121,Seguridad  y P. Civil. Material prácticas de tiro,,,130,2,5000,0,5000,276.57
,,,,,,,,,,,
,130,22199,Seguridad  y P. Civil. Otros suministros,,,130,2,1000,0,1000,3187.31
,,,,,,,,,,,
,130,22201,Seguridad  y P. Civil. Postales,,,130,2,2500,0,2500,0
,,,,,,,,,,,
,130,22400,Seguridad  y P. Civil. Primas de seguros,,,130,2,7000,0,7000,2336.68
,,,,,,,,,,,
,130,22401,Seguridad  y P. Civil. Primes de seguros de vehículos,,,130,2,28000,0,28000,28143.92
,,,,,,,,,,,
,130,22603,Seguridad  y P. Civil. Publicación en Diarios Oficiales,,,130,2,1000,0,1000,0
,,,,,,,,,,,
,130,22610,Seguridad  y P. Civil. Festejos populares (Patrona G. Civil y Policía Local),,,130,2,2000,0,2000,1309.4
,,,,,,,,,,,
,130,22699,Seguridad  y P. Civil. Otros gastos diversos,,,130,2,3000,5000,8000,5085.56
,,,,,,,,,,,
,130,22703,Seguridad  y P. Civil. Tramitación de expedientes sancionadores,,,130,2,34255.1,0,34255.1,0
,,,,,,,,,,,
,130,22715,Seguridad  y P. Civil. Limpieza en edificios,,,130,2,15067.77,0,15067.77,13479.54
,,,,,,,,,,,
,130,22755,Seguridad  y P. Civil. Servicio de Grua,,,130,2,25000,20304.33,45304.33,29447.4
,,,,,,,,,,,
,130,60900,Seguridad  y P. Civil.Instalacción de Semáforos,,,130,60900,0,61200,61200,0
,,,,,,,,,,,
,130,62500,Seguridad  y P. Civil.Mobiliario,,,130,62500,0,11158.67,11158.67,11158.67
,,,,,,,,,,,
,130,63205,Seguridad  y P. Civil.Acondicionamiento Centro de Seguridad Vial,,,130,63205,0,30000,30000,0
,,,,,,,,,,,
,130,63300,Seguridad  y P. Civil.Reposición Maquinaria y utillaje,,,130,63300,0,12700,12700,0
,,,,,,,,,,,
,135,11000,Protección civil. Retribuciones básicas,,,135,1,30300.06,0,30300.06,27616.35
,,,,,,,,,,,
,135,21300,Protección civil. Mantenimiento equipos de transmisión,,,135,2,5000,-5000,0,0
,,,,,,,,,,,
,135,21301,"Protección civil. Mantenimiento, maquinaria, instalacciones y utillaje",,,135,2,2000,-579.07,1420.93,372.23
,,,,,,,,,,,
,135,21400,Protección civil. Mantenimiento y reparación de vehículos,,,135,2,5000,0,5000,4537.9
,,,,,,,,,,,
,135,22002,"Protección civil. Material, informático no inventariable",,,135,2,1000,-555,445,0
,,,,,,,,,,,
,135,22103,Protección civil. Combustibles y carburantes,,,135,2,3000,0,3000,68.02
,,,,,,,,,,,
,135,22104,Protección civil. Vestuario,,,135,2,15706,-1851.86,13854.14,0
,,,,,,,,,,,
,135,22122,Protección civil. Material técnico sanitario primeros auxilios,,,135,2,5000,-5000,0,0
,,,,,,,,,,,
,135,22123,Protección civil. Material contra incendios,,,135,2,5000,0,5000,0
,,,,,,,,,,,
,135,22199,Protección civil. Otros suministros,,,135,2,1000,0,1000,1176.58
,,,,,,,,,,,
,135,22200,Protección civil. Servicios de Telecomunicaciones,,,135,2,1500,-1500,0,0
,,,,,,,,,,,
,135,22406,Protección civil. Seguros protección civil,,,135,2,5000,0,5000,3891.79
,,,,,,,,,,,
,135,22699,Protección civil. Otros gastos diversos,,,135,2,3000,0,3000,174.32
,,,,,,,,,,,
,135,22707,Protección civil. Formación protección civil,,,135,2,5000,-5000,0,0
,,,,,,,,,,,
,135,62309,Protección civil..Móviles corporación,,,135,62309,0,871.2,871.2,871.2
,,,,,,,,,,,
,135,62314,Protección civil..Proyectores y pantalla,,,135,62314,0,555,555,551.42
,,,,,,,,,,,
,135,62500,Protección civil..Mobiliario,,,135,62500,0,5203.12,5203.12,5203.12
,,,,,,,,,,,
,135,62603,Protección civil..Equipos para seguridad y vigilancia,,,135,62603,0,18930.93,18930.93,18930.93
,,,,,,,,,,,
,136,22501,Servicio de prevención y extinción de incendios. Tributos de las Comunidades Autónomas,,,136,22501,831050,392525.07,1223575.07,807821.36
,,,,,,,,,,,
,151,12000,Urbanismo. Sueldos del Grupo A1,,,151,1,31363.94,0,31363.94,24346.41
,,,,,,,,,,,
,151,12001,Urbanismo. Sueldos del Grupo A2,,,151,1,67799.9,0,67799.9,48825.55
,,,,,,,,,,,
,151,12003,Urbanismo. Sueldos del Grupo C1,,,151,1,61086.48,0,61086.48,53640.77
,,,,,,,,,,,
,151,12004,Urbanismo. Sueldos del Grupo C2,,,151,1,42367,0,42367,38681.29
,,,,,,,,,,,
,151,12006,Urbanismo. Trienios,,,151,1,22776.9,0,22776.9,19079.29
,,,,,,,,,,,
,151,12100,Urbanismo. Complemento de destino,,,151,1,126063.62,0,126063.62,105291.72
,,,,,,,,,,,
,151,12101,Urbanismo. Complemento específico,,,151,1,231199.91,0,231199.91,190187
,,,,,,,,,,,
,151,13000,Urbanismo. Salario Base,,,151,1,15510.74,0,15510.74,14402.96
,,,,,,,,,,,
,151,13002,Urbanismo. Otras remuneraciones,,,151,1,19705.79,0,19705.79,18298.54
,,,,,,,,,,,
,151,13006,Urbanismo. Trienios,,,151,1,1333.26,0,1333.26,1238.51
,,,,,,,,,,,
,151,15100,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Gratificaciones",,,151,1,0,86.84,86.84,0
,,,,,,,,,,,
,151,21105,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística..Demolición muro en  La Rinconada",,,151,2,0,0,0,4349.95
,,,,,,,,,,,
,151,21300,Urbanismo: Mantenimiento equipos de transmisión (sonómetro),,,151,2,1000,0,1000,0
,,,,,,,,,,,
,151,21303,Urbanismo. Mantenimiento aparatos elevadores,,,151,2,813.35,0,813.35,727.21
,,,,,,,,,,,
,151,21400,Urbanismo. Mantenimiento y reparación de vehículos,,,151,2,2000,0,2000,0
,,,,,,,,,,,
,151,21600,Urbanismo: Mantenimiento equipos para procesos de información,,,151,2,2000,0,2000,641.48
,,,,,,,,,,,
,151,22001,"Urbanismo: Prensa, revistas, libros y otras publicaciones",,,151,2,0,0,0,2588.14
,,,,,,,,,,,
